#z_lo	z_mean	z_hi		s0	s0plus s0minus	gamma	plus	minus	redchi2		DOF
 0.08 	0.235 0.30    		6.20 1.5 1.5   			1.16 0.01 0.01			0.2889		9
 0.30 	0.488 0.68    		4.60 0.8 0.7   			1.16 0.01 0.01			1.1305782	11
 0.68 	0.801 0.92    		5.40 1.6 1.7 			1.16 0.01 0.01			0.8003491	9
 0.92 	1.028 1.13    		6.30 1.6 1.7			1.16 0.01 0.01   		1.4134939	7
 1.13 	1.228 1.32    		7.75 1.5 1.6			1.16 0.01 0.01  		0.4319769	6
 1.32 	1.412 1.50    		3.65 1.7 1.8			1.16 0.01 0.01			0.7436301	7
 1.50 	1.577 1.66    		4.65 1.6 1.7			1.16 0.01 0.01 		1.5677571	8
 1.66 	1.744 1.83    		7.85 1.8 1.9			1.16 0.01 0.01 		0.1878546	6
 1.83 	1.917 2.02    		8.70 2.1 2.2  			1.16 0.01 0.01 		0.4151572	7
 2.02 	2.104 2.20    		4.10 1.8 1.9  		 	1.16 0.01 0.01			0.6814129	10   # fit over 1 <s < 100 \hmpc scales 
 2.20 	2.462 2.90  		7.15 2.2 3.4  		 	1.16 0.01 0.01			0.0524475	4
