#
# Croom et al., 2005, MNRAS, 356, 415
# Table 3. 
#
#z_lo  z_bar  z_hi     M_bJ	M_bJ*	phi h3 Mpc-3	bQ, bQ_err 	   M_DMH  h-1  M_solar / e12, plus, minus
0.30  0.526  0.68    	-22.16	-23.24	9.6e-6	1.13  0.18	    0.82 1.55 0.67 
0.68  0.804  0.92	-23.23	-23.94	7.6e-6	1.49  0.21	    2.09 2.18 1.30 
0.92  1.026  1.13	-23.86	-24.41	6.8e-6	1.71  0.24	    2.31 2.23 1.37 
1.13  1.225  1.32	-24.27	-24.78	6.6e-6	2.31  0.23	    5.76 2.90 2.21
1.32  1.413  1.50	-24.57	-25.07	6.3e-6	2.32  0.27	    3.69 2.24 1.62
1.50  1.579  1.66	-24.82	-25.29	6.1e-6	2.24  0.30	    2.05 1.61 1.07 
1.66  1.745  1.83	-25.06	-25.47	5.8e-6	2.17  0.35	    1.15 1.24 0.72 
1.83  1.921  2.02	-25.29	-25.61	5.3e-6	2.91  0.35	    3.05 1.85 1.34 
2.02  2.131  2.25	-25.51	-25.72	4.8e-6	3.53  0.38	    4.46 2.20 1.68 
2.25  2.475  2.90 	-25.86	-25.76	3.5e-6	4.24  0.53	    4.78 2.68 1.99 
