# From Table 3, Shen et al., 2007, AJ, 133, 2222 
# r_p  DDmean RRmean DRmean wp/rp wp/rp Error
1.189  0.0 114.3 19.8  0. 0.
1.679  0.9 258.3 39.6 154 162
2.371  4.5 478.5 91.8 236 195
3.350  9.9 913.2 160.8 78.1 51.5
4.732  20.7 1864.1 359.9 91.3 41.6
6.683  32.4 3786.5 684.3 15.7 7.81
9.441  62.9 7158.5 1314.0 10.6 4.45
13.34  130.0 14551.2 2659.1 3.06 2.85
18.84  227.3 28598.1 5162.4 -0.681 0.913
26.61  488.5 56940.7 10123.8 0.516 0.810
37.58  871.7 111284.0 19955.6 0.437 0.395
53.09  1762.2 218346.8 38910.9 0.0675 0.259
74.99  3394.4 422580.9 75630.1 0.0484 0.145
105.9  6751.7 811406.0 145785.5 0.0674 0.0592
149.6  12425.7 1535320.8 274851.9 0.0228 0.0292
211.3  22655.1 2849970.6 509877.9 -0.0183 0.00992
